Epoch,Train_Loss,Train_Data_Loss,Train_Phys_Loss,Val_Loss,Val_MAE,Val_Event_MAE_Catalog,validation_station_mae_catalog,validation_event_mae_catalog,window_mw_mean,LR,seed
1,1.4804718884596968,0.6192570273682592,0.943321009697983,0.743798012156123,8.373033292217724e+18,0.7718074321746826,0.5296183958181886,0.7718074321746826,7.975399248268572,0.0001,17
2,1.2464807953797403,0.3947758144213175,0.9619414319716252,0.6321460398857903,7.390703846793392e+18,0.7330331007639567,0.4765630730599031,0.7330331007639567,7.918361447851754,0.0001,17
3,1.0723440956751151,0.3211187926660788,0.848618766622363,0.4786106326654887,6.345510183980784e+18,0.6996730168660482,0.4046609946965102,0.6996730168660482,7.840167195273088,0.0001,17
4,0.9104724229708132,0.2520149087282654,0.7532587168081452,0.3760256516024671,5.545789325805113e+18,0.6261539856592814,0.3085022293398733,0.6261539856592814,7.74030388203437,0.0001,17
5,0.7374324456304809,0.2011987524929646,0.6267203222566571,0.3630324778535441,5.583389566536894e+18,0.567075252532959,0.2937558648832176,0.567075252532959,7.726562309692794,0.0001,17
6,0.6021107063277544,0.1610412453119959,0.5339361661268156,0.2748018289360764,4.953675649858127e+18,0.5534247954686483,0.1861365867837127,0.5534247954686483,7.4166131703842915,0.0001,17
7,0.5423985706420575,0.154495804756051,0.4817035877134431,0.3414076908821482,5.516925498773823e+18,0.5319674809773763,0.3045236946755995,0.5319674809773763,7.669287961694692,9.89183062363234e-05,17
8,0.4601738516809014,0.1264916578943823,0.428604825601827,0.4169726099134026,6.345270776417563e+18,0.513036052385966,0.3716056036842243,0.513036052385966,7.734146156653161,9.572050015330874e-05,17
9,0.4406979257060635,0.1212391246843656,0.4152104031704822,0.6028498413851443,8.50057912603463e+18,0.4224526484807332,0.4901631188499553,0.4224526484807332,7.945748006281831,9.05463412215599e-05,17
10,0.3982137784411565,0.1135552345844476,0.3811296644942779,0.3263943303593605,5.345882531351922e+18,0.4252090056737264,0.3190608131511329,0.4252090056737264,7.654100336836058,8.362196501476348e-05,17
11,0.3918105096155332,0.107928277988886,0.3805721404571687,0.3814778437528909,6.189497353149853e+18,0.3773106336593628,0.3649054514453015,0.3773106336593628,7.782510842977618,7.525e-05,17
12,0.3685740151580369,0.1043683285053168,0.3603706892012091,0.3035383438315627,4.975657638541711e+18,0.4010192155838012,0.3088648287170136,0.4010192155838012,7.648289494450317,6.57963412215599e-05,17
