Epoch,Train_Loss,Train_Data_Loss,Train_Phys_Loss,Val_Loss,Val_MAE,Val_Event_MAE_Catalog,validation_station_mae_catalog,validation_event_mae_catalog,window_mw_mean,LR,seed
1,1.474293463354779,0.6145327757211098,0.9417308747304296,0.7473048864458709,8.361720885481351e+18,0.7716014385223389,0.5291216726260335,0.7716014385223389,7.974867375976836,0.0001,73
2,1.2339349902909378,0.3826789542021555,0.963394927119917,0.5889463579708151,7.296299995376544e+18,0.7270539601643881,0.4710147370137441,0.7270539601643881,7.912257718398432,0.0001,73
3,1.0388835927303697,0.2940353635238593,0.8480235493687024,0.4472781299475597,6.065063896543547e+18,0.681143045425415,0.3714005508764977,0.681143045425415,7.804827891123135,0.0001,73
4,0.8646432812407496,0.236371883759907,0.7229939997527702,0.3665033947726536,5.44175166197769e+18,0.6324406862258911,0.2879357402100156,0.6324406862258911,7.716533560389361,0.0001,73
5,0.7346233128838332,0.2014850417154119,0.625912724251344,0.3684492562918385,5.599598655703385e+18,0.5653982957204183,0.2961184369074389,0.5653982957204183,7.726857493276554,0.0001,73
6,0.6110353346528679,0.1652387597570164,0.5387325636271773,0.4089951183763854,5.965665777341705e+18,0.5479981501897176,0.3306701001565018,0.5479981501897176,7.740468467832146,0.0001,73
7,0.5503437100050844,0.1497417851470336,0.4949797562948191,0.2928817475323185,5.128698849372579e+18,0.4934568802515666,0.2561249946799513,0.4934568802515666,7.5602818561776335,9.89183062363234e-05,73
8,0.4747972756922576,0.1282862639997374,0.4415146747937589,0.595121588674896,8.309106562014473e+18,0.4614851474761963,0.4796528067824017,0.4614851474761963,7.90154416464904,9.572050015330874e-05,73
9,0.4616844547007054,0.1285151323599863,0.4283998290095499,0.6356629507424051,8.375227582149677e+18,0.4179917971293131,0.4903478280311208,0.4179917971293131,7.895789608292516,9.05463412215599e-05,73
10,0.4241576554446384,0.1208304225801758,0.3994851315909949,0.5466838813148807,7.719801107792463e+18,0.380200982093811,0.4628905095327061,0.380200982093811,7.887342998265151,8.362196501476348e-05,73
11,0.3816546776453168,0.1067548787782799,0.3706665056466526,0.4555859123377522,6.779249514786556e+18,0.358629822731018,0.4048399690020779,0.358629822731018,7.830423953821841,7.525e-05,73
12,0.3931455456706653,0.1055562544585069,0.3838408377862746,0.4264792505935703,6.289760566128211e+18,0.3660458326339721,0.3903810518204899,0.3660458326339721,7.781812584453634,6.57963412215599e-05,73
13,0.3265727050146616,0.0928816958449706,0.329857348450962,0.3485874236966462,5.298195716085103e+18,0.3759117523829142,0.3387970218743978,0.3759117523829142,7.710522508407387,5.567415893174885e-05,73
14,0.3268586365346516,0.0930000018655789,0.3300321972177875,0.3255992402143008,5.097595075558784e+18,0.3222567240397135,0.3173117316891794,0.3222567240397135,7.75545369990738,4.532584106825116e-05,73
15,0.3008435511085162,0.0854470399565771,0.3115255795750721,0.2679408863520943,4.440176818630945e+18,0.3249067862828572,0.2836600012843384,0.3249067862828572,7.650638197569569,3.5203658778440106e-05,73
16,0.2878467145731239,0.0838040477068922,0.3003804382968598,0.270788446135585,4.459528243001985e+18,0.293306827545166,0.280255867226776,0.293306827545166,7.701995424091014,2.5750000000000013e-05,73
17,0.2916619859934184,0.0831680152009969,0.304627430622152,0.4007801420218206,5.69130818099437e+18,0.2824321587880452,0.3718983988056268,0.2824321587880452,7.823937540097087,1.7378034985236535e-05,73
18,0.2834150369825034,0.0827538619880814,0.2964932251394259,0.324256285958226,4.840466165725612e+18,0.3076267639795939,0.3208046429894964,0.3076267639795939,7.743211226612997,1.0453658778440109e-05,73
