event,available_station_count,used_station_count,used_stations,mw_reference,baseline_mw_pred,baseline_abs_error,candidate_mw_pred,candidate_abs_error,improvement,improved
Iquique 2014,11,5,AEDA|PB08|IQQE|PCHA|PB11,7.7,7.718791961669922,0.018791961669921697,7.710905075073242,0.01090507507324201,0.007886886596679688,True
Kodiak 2018,64,5,AC34.GNSS|AC67.GNSS|AC45.GNSS|AC38.GNSS|AC02.GNSS,7.9,7.859811305999756,0.040188694000244496,7.872854709625244,0.027145290374756215,0.013043403625488281,True
Luding 2022,6,5,SCMB|SCDA|SCYX|SCXD|SCJL,6.6,6.914755821228027,0.3147558212280277,6.889971733093262,0.2899717330932621,0.024784088134765625,True
Mandalay 2025,13,5,YNRL|YNSD|YNLC|YNGM|YNLA,7.7,7.827083587646484,0.1270835876464842,7.850008010864258,0.15000801086425763,-0.022924423217773438,False
Nepal 2015,5,5,SNDL|BRN2|NAST|SYBC|KKN4,7.3,7.173484802246094,0.12651519775390607,7.159829139709473,0.14017086029052717,-0.013655662536621094,False
Samos 2020,3,3,cesm|izmi|didi,7.0,7.089109420776367,0.08910942077636719,7.040740013122559,0.040740013122558594,0.048369407653808594,True
Sand Point 2025,45,5,AC12.GNSS|AC28.GNSS|AC21.GNSS|AB07.GNSS|AC20.GNSS,7.3,7.355471134185791,0.05547113418579119,7.345515251159668,0.045515251159668146,0.009955883026123047,True
Xizang 2025,12,5,XZAR|XZRK|XZNM|XZZB|XZDX,7.1,7.384000301361084,0.28400030136108434,7.38645601272583,0.28645601272583043,-0.0024557113647460938,False
