method,event_count,event_mae,event_rmse,event_bias
radial_pinn_event_neural_v2,8,0.10710560878117881,0.1400612988303906,0.03142244418462137
radial_event_ridge,8,0.11611918226122364,0.1555022666709029,0.04460837115949945
pgd_melgar,8,0.19942650376554172,0.22751768651408838,-0.10344332591124161
phase9_r_ensemble,8,0.206446784734726,0.259017682279647,-0.0011136353015899214
phase13_event_balanced,8,0.2127200841903687,0.25118396964381595,-0.018904836972554406
pgd_crowell,8,0.3293266486320098,0.40693119691321156,0.20723483225865003
pgd_ruhl,8,0.33452448865239326,0.36673745913237865,-0.2818859497378501
