horizon_sec,event_count,event_mae,event_rmse,event_bias
6.0,1,1.4982821464538576,1.4982821464538576,-1.4982821464538576
7.0,1,0.022112178802490057,0.022112178802490057,0.022112178802490057
8.0,3,0.4258500417073569,0.5193721261498558,0.40790843963623047
9.0,3,0.4033916473388673,0.4979271888709257,0.3902750015258789
10.0,4,0.4473666667938234,0.49230919645466154,0.38217697143554696
11.0,4,0.4170715332031252,0.46122691585318515,0.35067830085754403
12.0,5,0.4162515640258791,0.45510808650193746,0.37610942840576184
13.0,5,0.4081648826599123,0.4469488679831751,0.3741020393371583
14.0,6,0.54548134803772,0.6468334553939546,0.4992438157399497
15.0,6,0.5551660696665448,0.6791805466461307,0.5262062549591066
16.0,6,0.5292161146799725,0.6662903212371658,0.5230705738067628
17.0,6,0.520144844055176,0.6527562816822453,0.4953707059224448
18.0,6,0.5124795277913413,0.6433906673006392,0.4748195012410483
19.0,6,0.48275508880615253,0.6283281458177921,0.4438219070434572
20.0,6,0.5123594601949057,0.6857700127522679,0.5123594601949057
21.0,6,0.5452338059743247,0.7053358284746177,0.5452338059743247
22.0,6,0.5377647082010907,0.7006335252046422,0.5377647082010907
23.0,6,0.5646743774414064,0.7059518965368566,0.5646743774414064
24.0,6,0.5896519025166831,0.7141235329922331,0.5896519025166831
25.0,6,0.5776538848876954,0.7043721258014723,0.5776538848876954
26.0,6,0.5876904328664145,0.6995151304475277,0.5876904328664145
27.0,6,0.5889127254486085,0.6979037924531792,0.5889127254486085
28.0,6,0.5797904332478843,0.6887016868284271,0.5797904332478843
29.0,6,0.566056807835897,0.675531771977751,0.566056807835897
30.0,6,0.5599387486775718,0.6729344849163331,0.5599387486775718
31.0,6,0.549030383427938,0.6643740487680675,0.549030383427938
32.0,6,0.5324181715647381,0.653234898247592,0.5324181715647381
33.0,6,0.5137995878855389,0.641455397752842,0.5137995878855389
34.0,6,0.49401839574178075,0.628662698706178,0.49401839574178075
35.0,6,0.4555307229359946,0.5978278576924667,0.4555307229359946
36.0,7,0.3942348752702986,0.5506720912930378,0.3942348752702986
37.0,7,0.39511879512241915,0.5584955009203149,0.39511879512241915
38.0,8,0.38219313621521,0.536423413520161,0.38219313621521
39.0,8,0.36631565093994145,0.526441752357143,0.36631565093994145
40.0,8,0.37600694894790654,0.5283241496761044,0.37600694894790654
41.0,8,0.3645954608917237,0.5215854095554812,0.3645954608917237
42.0,8,0.3345157384872437,0.5002008664311953,0.3345157384872437
43.0,8,0.3916776061058045,0.5289264869466229,0.3916776061058045
44.0,8,0.36606566905975346,0.4928367504307293,0.36606566905975346
45.0,8,0.3768383145332337,0.5217728916248253,0.3768383145332337
46.0,8,0.367194938659668,0.5089454829666078,0.367194938659668
47.0,8,0.3479231476783753,0.49101018330407664,0.3479231476783753
48.0,8,0.34067003726959233,0.4769226864390164,0.34067003726959233
49.0,8,0.3387458205223084,0.48826878010595853,0.3387458205223084
50.0,8,0.36171035766601567,0.5030324645573866,0.36171035766601567
51.0,8,0.3924903750419617,0.533123409985051,0.3924903750419617
52.0,8,0.4118555665016175,0.5493097399352839,0.40899835824966435
53.0,8,0.4165592670440674,0.5376838809173929,0.4102557182312012
54.0,8,0.3964676141738892,0.5185381494139154,0.386992621421814
55.0,8,0.39352374076843266,0.5193100985240422,0.38114159107208256
56.0,8,0.3826537609100342,0.5150446187929625,0.36761550903320317
57.0,8,0.3813009142875672,0.5000522674155486,0.36384223699569707
58.0,8,0.38682371377944946,0.5000344622898315,0.3663763880729676
59.0,8,0.38714414834976196,0.49611778521457744,0.35556184053421025
60.0,8,0.39609646797180176,0.49941044801024276,0.3537844896316529
61.0,8,0.3962409496307373,0.4944919970602919,0.3436369180679322
62.0,8,0.37393832206726074,0.47186771994917004,0.31150631904602055
63.0,8,0.35358840227127075,0.45843873171990546,0.281812059879303
64.0,8,0.3471395969390869,0.4512445992648675,0.2665148258209229
65.0,8,0.3520169258117676,0.4509500360233704,0.25573735237121586
66.0,8,0.345042884349823,0.4433735295579875,0.25145350694656377
67.0,8,0.34095728397369385,0.43758896078493614,0.24172465801239018
68.0,8,0.32975637912750244,0.4226060511169495,0.2252322912216187
69.0,8,0.3279673457145691,0.4176217197347764,0.2184905886650086
70.0,8,0.32385092973709106,0.41237911412886336,0.20974491834640507
71.0,8,0.32240915298461914,0.4106690328044165,0.20398144721984868
72.0,8,0.31671375036239624,0.4038810740573897,0.19425510168075566
73.0,8,0.3139709234237671,0.40085646758333626,0.1877552747726441
74.0,8,0.2976086139678955,0.38750945363519634,0.2013837575912476
75.0,8,0.2876695394515991,0.37945535991679513,0.20264821052551274
76.0,8,0.2801252603530884,0.371691815645785,0.19882910251617436
77.0,8,0.27155423164367676,0.3571567709539833,0.18826763629913335
78.0,8,0.2688221335411072,0.3533013706183259,0.1830012679100037
79.0,8,0.26721495389938354,0.3512279111400243,0.1790196776390076
80.0,8,0.2655075907707214,0.3484110887633442,0.17458556890487675
81.0,8,0.2582473278045654,0.3395019313818822,0.16416220664978032
82.0,8,0.26166075468063354,0.3365281230295978,0.1672086596488953
83.0,8,0.26813608407974243,0.342094752253384,0.17185913324356084
84.0,8,0.2704086899757385,0.3391860935979213,0.1724250197410584
85.0,8,0.2685098648071289,0.3354011333266313,0.16893117427825932
86.0,8,0.2663903832435608,0.3321215548277605,0.16532205343246464
87.0,8,0.2560221552848816,0.3214433452019898,0.153564202785492
88.0,8,0.2532448887825012,0.31839693044251266,0.14438771009445195
89.0,8,0.24931175708770748,0.3132851038047726,0.13923208713531499
90.0,8,0.25926679372787476,0.30956758237958526,0.15319036245346074
91.0,8,0.262890100479126,0.3096866359747615,0.15577607154846196
92.0,8,0.26776278018951416,0.3123394757828832,0.1596889972686768
93.0,8,0.27322036027908325,0.3165365195069658,0.1642608523368836
94.0,8,0.26937955617904663,0.3104542450717311,0.15960513353347783
95.0,8,0.26916396617889404,0.31079576887510174,0.1586422204971314
