model,observation_horizon_sec,release_time_sec,available_station_count,event_count,station_mae,station_rmse,station_bias,event_mae,event_rmse,event_bias,event_abs_step_p95,station_abs_step_p95
phase39,20,26.0,158,8,1.2778970428033727,1.3260402977845307,1.2778970428033727,1.4900747313908842,1.5467473151144866,1.4900747313908842,,
phase47,20,26.0,158,8,0.3651017514206095,0.4655388509152709,0.25106889098526813,0.38048190303051044,0.469038257491935,0.3281958125687936,,
phase48,20,26.0,158,8,0.40453716213545377,0.5291858408971507,0.28316242213858644,0.3909812757275991,0.5073474526834165,0.2869134057959012,,
phase39,21,27.0,158,8,1.2751180858815634,1.3239182590917626,1.2751180858815634,1.4827833169124265,1.540541575199278,1.4827833169124265,0.029298998616010236,0.037589751247764716
phase47,21,27.0,158,8,0.36560740554865756,0.4677826688702507,0.2617126906386646,0.38325482199842964,0.47446767493847236,0.3463552251974774,0.0455433802301485,0.045727818340891006
phase48,21,27.0,158,8,0.40745471645090775,0.5402952398585965,0.3065177406212173,0.3974339349513387,0.5193209707478557,0.3010280484325265,0.027872209728712558,0.04757964956532706
phase39,22,28.0,158,8,1.228614442706674,1.2810842076940716,1.228614442706674,1.4393146308234597,1.5007434222501699,1.4393146308234597,0.07448973227019814,0.1287802638930599
phase47,22,28.0,158,8,0.36771563618788733,0.47383661015525685,0.2791633712397606,0.37847357618790367,0.4792576583753505,0.3550824930489158,0.027842823223096235,0.05132294686605561
phase48,22,28.0,158,8,0.41184898103176587,0.5518294421182193,0.32702175844470255,0.39725515370597464,0.52996986162782,0.32148370896082723,0.033747746163424214,0.04115795213750283
phase39,23,29.0,158,8,1.1953138828908423,1.2517027825834786,1.1953138828908423,1.4115838412295327,1.474975258107829,1.4115838412295327,0.054547095689221156,0.10006902254023892
phase47,23,29.0,158,8,0.3734921762110543,0.4834235098287152,0.2990024962700138,0.3838693326880256,0.48911723953998293,0.36261596881137037,0.05171373965037399,0.060948796829482975
phase48,23,29.0,158,8,0.42112572146658894,0.5664184595832951,0.34789261613048567,0.41070325362510207,0.5427782980320741,0.34193755930323233,0.04919234640735566,0.039579678454164505
phase39,24,30.0,158,8,1.161441755412093,1.2233109970880673,1.161441755412093,1.3753982293438947,1.440956252902413,1.3753982293438947,0.07647744248097402,0.10874974654091796
phase47,24,30.0,158,8,0.36490152564131084,0.47217229979285497,0.2841926826370373,0.3750743703211501,0.48317858913047806,0.3461535002942997,0.03989290826834954,0.05018492673085208
phase48,24,30.0,158,8,0.42462182633409773,0.571344736584446,0.3549652798217315,0.418356051178816,0.5477235524712045,0.345984229285877,0.016672871470551385,0.0283917496895997
phase39,25,31.0,158,8,0.995758624471544,1.0868157659601896,0.995758624471544,1.2261826916170397,1.3080146853037176,1.2261826916170397,0.2853565888092851,0.35552159951802353
phase47,25,31.0,158,8,0.3636841039228016,0.4733256267638837,0.28644913130383076,0.3788681949233441,0.4952518700694732,0.3555110953198335,0.03937754536792637,0.04752666678230062
phase48,25,31.0,158,8,0.4344977022074931,0.5824370220062026,0.3702842888742812,0.428278028694562,0.5593232811589517,0.35738897781295975,0.02240399509959632,0.031829455329033654
phase39,26,32.0,158,8,1.0062473308395605,1.096345116018636,1.0062473308395605,1.2265092376344144,1.302542801087437,1.2265092376344144,0.07022072241010358,0.056266012015958974
phase47,26,32.0,158,8,0.35933808360866415,0.4710745092671895,0.28081154193575314,0.3881327708920609,0.49757330282793333,0.3587402505073177,0.028471609238772094,0.055855705258314674
phase48,26,32.0,158,8,0.4405405064922227,0.5882276202033182,0.3773856881634315,0.4341969481180653,0.5655359802231859,0.3659122274394194,0.016991080123232333,0.02819108000905151
phase39,27,33.0,158,8,0.9239296788835074,1.027654988404066,0.9211710992070448,1.1371168010846375,1.223639279039124,1.1371168010846375,0.12166330868365519,0.16229447990830043
phase47,27,33.0,158,8,0.36020370850345396,0.4736235600534261,0.28059146735752394,0.3947879606728817,0.5027018952204796,0.36913777703035344,0.0301910711557408,0.04243279230985125
phase48,27,33.0,158,8,0.44492828281458296,0.5918432804284308,0.3799899133084412,0.43898961900311506,0.5721727513764353,0.37170504772156776,0.020139032797286516,0.03587770168705826
phase39,28,34.0,158,8,0.9098768121553286,1.014072338907444,0.9065044887544343,1.1361409873690604,1.2098327122143069,1.1361409873690604,0.11249604615595277,0.06225352793452202
phase47,28,34.0,158,8,0.3566224667157055,0.4702436903610899,0.27510354486194977,0.398410057587155,0.5013015756484508,0.3607088632737565,0.032216414460183924,0.04731608943816536
phase48,28,34.0,158,8,0.44393049677487784,0.5899930961407728,0.37274086443322,0.42784239844695293,0.5669621106035041,0.37410656778126106,0.04501909089992153,0.04151380383078234
phase39,29,35.0,158,8,0.8487781345906719,0.9612341503076001,0.840508636716125,1.072697396382969,1.151304335959347,1.072697396382969,0.07804494618518074,0.12010284257754043
phase47,29,35.0,158,8,0.3516579988773298,0.4622266028442002,0.26263066813427743,0.39453913636010673,0.491834571781941,0.3481663574109328,0.03704132384664159,0.05966766245139755
phase48,29,35.0,158,8,0.44577381286797285,0.5929428000615627,0.3741051205761657,0.4249468913909401,0.5667269152640356,0.3758652650732125,0.009331622847573762,0.037061514659122045
phase39,30,36.0,158,8,0.8544354469338652,0.9673241032186156,0.8510316536385031,1.095955265694796,1.16931871018278,1.095955265694796,0.12165135446962741,0.09191590657436706
phase47,30,36.0,158,8,0.3456481739659498,0.4549870021046798,0.25282432952656136,0.3919461526028657,0.48712546214632135,0.35077184672510275,0.04878229462036597,0.07594746042889453
phase48,30,36.0,158,8,0.45184486128593243,0.6013225567034696,0.38408472754180945,0.4276717541510432,0.5719840562058637,0.3854563280533906,0.032152722458013226,0.039548847887873835
phase39,31,37.0,158,8,0.8330690471659906,0.947777840176437,0.8281631164110929,1.102337296018564,1.1759937102713371,1.102337296018564,0.15812251111877354,0.0904908401578593
phase47,31,37.0,158,8,0.34440241940114796,0.456269383136059,0.25163261897082795,0.3904761102417287,0.48978491623733494,0.3623205689552824,0.06625645230250785,0.06635993241168767
phase48,31,37.0,158,8,0.46600834774712696,0.6187132249317564,0.4054144453042311,0.44484748814567354,0.5893996666763692,0.39645340826554476,0.04403246135324696,0.046201932446788524
phase39,32,38.0,158,8,0.839337195609344,0.9521805148999594,0.8353495672038059,1.166146825563472,1.2236506749485367,1.166146825563472,0.33447962913617735,0.08361544781547652
phase47,32,38.0,158,8,0.34557650132785994,0.46367899313339517,0.2598626371811016,0.389745134380883,0.494036995142337,0.3672498487217276,0.03469599882028049,0.06018819203743816
phase48,32,38.0,158,8,0.48196278299972845,0.636921641536914,0.4267258862159989,0.46188609006753634,0.603999119903106,0.4008839629445393,0.05552236258385251,0.04873797026434759
phase39,33,39.0,158,8,0.7669946704020326,0.8909497711465526,0.7626572341081513,1.0752056203114313,1.1245165806135355,1.0752056203114313,0.3447368645221396,0.19996309099224585
phase47,33,39.0,158,8,0.3587686820219066,0.4830772551669703,0.28680123757512616,0.38972768541467107,0.5049642794170863,0.3712234030366067,0.04515696187949109,0.0875935418668728
phase48,33,39.0,158,8,0.4798570129032049,0.6380424108141683,0.4272832975289831,0.46821590711076355,0.6146674307398727,0.4010715788541436,0.04464998944761443,0.046420512343915435
