model,label,endpoint_event_mae,endpoint_station_mae,endpoint_event_bias,late_event_abs_step_p95_mw,late_station_abs_step_p95_mw,late_confirmed_history_p95,stable_event_count,improved_event_count_vs_phase39
phase39,Phase39 seed42,0.14773733487360796,0.2608238970755969,0.00760177096497161,0.030194250131322736,0.059836883168174954,0.0757951630083142,5,
phase47,Phase47 seed73 epoch19,0.38882170404455796,0.3793963533778477,0.2180309473578682,0.02736506321480388,0.03951412211538016,0.04795221892006982,1,1
phase48,Phase48 seed73 epoch188,0.22527695768711153,0.3115117327011439,0.09225752820825173,0.01742513996718757,0.033133520599132986,0.033223821208960294,2,3
