event,mw_catalog,station_count_200s,phase39_mw,phase39_abs_error,phase47_mw,phase47_abs_error,phase47_abs_error_change_vs_phase39,phase48_mw,phase48_abs_error,phase48_abs_error_change_vs_phase39
Iquique 2014 M7.7,7.699999809265137,11,7.552301058688192,0.1476987505769447,7.4389915169582235,0.26100829230691325,0.11330954172996854,7.526182625543293,0.17381718372184363,0.026118433144898923
Kodiak 2018 M7.9,7.900000095367432,64,7.859626559672003,0.04037353569542823,7.932973144189834,0.03297304882240226,-0.007400486873025969,7.908437350276459,0.008437254909027025,-0.031936280786401205
Luding 2022 M6.6,6.599999904632568,6,7.0684426209790985,0.4684427163465301,7.462532783168189,0.862532878535621,0.3940901621890909,7.063929657932956,0.46392975330038766,-0.00451296304614246
Mandalay 2025 M7.7,7.699999809265137,12,7.652294187741406,0.04770562152373081,7.909767649216073,0.20976783995093662,0.1620622184272058,7.962137833049969,0.2621380237848321,0.21443240226110127
Nepal 2015 M7.3,7.300000190734863,5,7.20728195879539,0.09271823193947348,7.087103670619819,0.21289652011504412,0.12017828817557064,7.079476094723201,0.2205240960116619,0.1278058640721884
Samos 2020 M7.0,7.0,3,6.830374390703455,0.1696256092965447,6.790741785675198,0.20925821432480163,0.03963260502825694,6.862263561818066,0.1377364381819337,-0.03188917111461098
Sand 2025 M7.3,7.300000190734863,45,7.23757968413244,0.06242050660242349,7.875051053408269,0.5750508626734057,0.5126303560709822,7.6700186309782845,0.37001844024342123,0.30759793364099774
Xizang 2025 M7.1,7.099999904632568,12,7.2529136116403565,0.15291370700778817,7.8470858802599075,0.7470859756273391,0.594172268619551,7.265614375976353,0.16561447134378504,0.012700764335996872
