model,event,mw_catalog,final_mw,final_abs_error,max_abs_step_20_200_mw,max_down_step_20_200_mw,max_abs_step_after_60_mw,max_down_step_after_60_mw,max_abs_step_after_120_mw,max_down_step_after_120_mw,peak_after_60_mw,peak_after_60_observation_sec,peak_to_final_drop_after_60_mw,range_after_60_mw,range_179_200_mw,downward_step_fraction_20_200
phase39,Iquique 2014 M7.7,7.699999809265137,7.552301058688192,0.1476987505769447,0.4475051100777634,0.23709829339990485,0.06319550740110635,0.06319550740110635,0.06319550740110635,0.06319550740110635,8.995592186785757,60,1.4432911280975649,1.4918644809638968,0.06771836116418672,0.7
phase39,Kodiak 2018 M7.9,7.900000095367432,7.859626559672003,0.04037353569542823,0.18547604215933688,0.18547604215933688,0.1027923876660779,0.08612639559794744,0.0768046426718243,0.07075995134260626,8.084540929642442,98,0.22491436997043834,0.7324555035061717,0.15886561092219242,0.5722222222222222
phase39,Luding 2022 M6.6,6.599999904632568,7.0684426209790985,0.4684427163465301,0.31134182479895145,0.31134182479895145,0.09795250090591079,0.076973680141875,0.09795250090591079,0.076973680141875,7.506934584934133,143,0.43849196395503487,0.5974945660269162,0.191979752738213,0.6166666666666667
phase39,Mandalay 2025 M7.7,7.699999809265137,7.652294187741406,0.04770562152373081,0.13033436351664385,0.13033436351664385,0.11201517891923185,0.10640776198196544,0.11201517891923185,0.10640776198196544,8.198183536222983,169,0.5458893484815768,0.8403240058884744,0.2351450663806567,0.6111111111111112
phase39,Nepal 2015 M7.3,7.300000190734863,7.20728195879539,0.09271823193947348,0.21692076212500844,0.1308495885959804,0.09026145078346559,0.09026145078346559,0.033900643137315,0.033900643137315,7.9031684946607905,61,0.6958865358654007,0.7754412876781105,0.05579326915879257,0.6722222222222223
phase39,Samos 2020 M7.0,7.0,6.830374390703455,0.1696256092965447,0.45443675446296616,0.45443675446296616,0.0492712937083537,0.0492712937083537,0.02209262294115888,0.014052204020212677,7.36509607341125,60,0.5347216827077945,0.6217492021722153,0.0900030605361195,0.8
phase39,Sand 2025 M7.3,7.300000190734863,7.23757968413244,0.06242050660242349,0.13567389758189385,0.13567389758189385,0.08608445875138937,0.08608445875138937,0.04294726887904954,0.04294726887904954,7.865633155291807,69,0.628053471159367,0.6384508754802622,0.09857052342934747,0.6
phase39,Xizang 2025 M7.1,7.099999904632568,7.2529136116403565,0.15291370700778817,0.15739000979977646,0.15739000979977646,0.09298849613320481,0.08311393295493641,0.034949757060250164,0.034949757060250164,7.681972296930693,94,0.42905868529033686,0.5287209600084122,0.13486545855796006,0.6055555555555555
phase47,Iquique 2014 M7.7,7.699999809265137,7.4389915169582235,0.26100829230691325,0.15589775369539716,0.10702294714652538,0.03362780968255219,0.03362780968255219,0.013365202962229539,0.013365202962229539,7.681029073460814,66,0.2420375565025905,0.2420375565025905,0.023866483063933686,0.5777777777777777
phase47,Kodiak 2018 M7.9,7.900000095367432,7.932973144189834,0.03297304882240226,0.07410483460889061,0.05096570069429962,0.04587958311488727,0.04362311967854815,0.031487838868079265,0.030596996195275672,8.168669955044678,71,0.23569681085484362,0.34633247136242673,0.06082148172015245,0.5055555555555555
