observation_horizon_sec,release_time_sec,event_count,available_station_count,event_equal_mae,event_equal_rmse,event_equal_bias,within_0p15_count,within_0p15_fraction,suffix_stable_count,suffix_stable_fraction
20.0,25.0,30,357,0.8121666510899862,0.9813706577081085,-0.7462419589360555,4,0.13333333333333333,1,0.03333333333333333
40.0,45.0,30,385,0.605699880917867,0.8113676815699358,-0.4564159472783407,9,0.3,2,0.06666666666666667
60.0,65.0,30,385,0.5338629325230916,0.7153805974428535,-0.24306161403656007,7,0.23333333333333334,3,0.1
80.0,85.0,30,385,0.5078473647435506,0.7021193406031134,-0.15491996606191,9,0.3,6,0.2
100.0,105.0,30,385,0.3815916379292806,0.5951117736721171,-0.1625624974568685,12,0.4,7,0.23333333333333334
120.0,125.0,30,385,0.33540616035461424,0.5331122950340956,-0.11865674654642741,13,0.43333333333333335,9,0.3
140.0,145.0,30,385,0.2300905704498291,0.36084699120955943,-0.002654695510864258,15,0.5,11,0.36666666666666664
160.0,165.0,30,385,0.20435818831125896,0.2973581348473174,-0.011001785596211752,14,0.4666666666666667,12,0.4
180.0,185.0,30,385,0.16148947874704997,0.21438359825262363,0.023125195503234865,16,0.5333333333333333,15,0.5
200.0,205.0,30,385,0.1372873624165853,0.18278037510564638,-0.01514135996500651,19,0.6333333333333333,19,0.6333333333333333
