method,method_label_zh,event_count,event_mae,event_bias,event_rmse
phase27,本文模型（Phase27）,7,0.15627034732273642,-0.0660261767251151,0.17609472266570536
crowell,Crowell PGD,7,0.1696399617158069,-0.029510807755183395,0.1861321220932349
melgar,Melgar PGD,7,0.24219000754955466,-0.2320321297965184,0.27297337167402597
ruhl,Ruhl PGD,7,0.4219492630720252,-0.4219492630720252,0.4562061965868267
