event,mw_catalog,station_count,phase73_20s_mw,phase73_200s_mw,phase73_endpoint_error_mw,phase73_endpoint_abs_error_mw,phase73_start_to_end_change_mw,phase73_post120_abs_step_p95_mw,phase73_post120_abs_step_max_mw,phase73_post120_excess_variation_mw,phase73_post120_sign_changes,phase73_peak_to_final_mw,phase73_post160_band_width_mw,phase73_suffix_within_0_15_horizon_sec,crowell_suffix_within_0_15_horizon_sec,phase73_plateau_within_0_15_of_final_horizon_sec
Iquique 2014 M7.7,7.7,11,6.510990142822266,7.613622188568115,-0.08637781143188494,0.08637781143188494,1.1026320457458496,0.002057862281799316,0.00250244140625,0.004443168640136719,0,0.07487106323242188,0.05859231948852539,78,,64
Kodiak 2018 M7.9,7.9,64,7.286099433898926,8.024699211120605,0.12469921112060511,0.12469921112060511,0.7385997772216797,0.0075810432434082016,0.008802413940429688,0.06821250915527344,0,0.017752647399902344,0.08358097076416016,69,,100
Luding 2022 M6.6,6.6,6,6.309054374694824,6.998996257781982,0.3989962577819828,0.3989962577819828,0.6899418830871582,0.00432431697845459,0.004394054412841797,0.0494232177734375,0,0.014084339141845703,0.053363800048828125,,,122
Mandalay 2025 M7.7,7.7,12,7.4997992515563965,8.029411315917969,0.3294113159179686,0.3294113159179686,0.5296120643615723,0.007432699203491206,0.02422332763671875,0.08447837829589844,0,0.03238868713378906,0.08938407897949219,,,62
Nepal 2015 M7.3,7.3,5,6.559476375579834,7.237229824066162,-0.06277017593383771,0.06277017593383771,0.6777534484863281,0.0008789777755737304,0.0009508132934570312,0.0119781494140625,0,0.0012869834899902344,0.023389339447021484,70,57,69
Samos 2020 M7.0,7.0,3,6.721471309661865,6.836676597595215,-0.16332340240478516,0.16332340240478516,0.11520528793334961,0.0010266780853271484,0.008997440338134766,0.02912139892578125,0,0.014847755432128906,0.00915384292602539,,25,20
Sand 2025 M7.3,7.3,45,7.697240352630615,8.078475952148438,0.7784759521484377,0.7784759521484377,0.38123559951782227,0.003508901596069336,0.004779815673828125,0.022388458251953125,0,0.14484310150146484,0.09405517578125,,,107
Xizang 2025 M7.1,7.1,12,7.418807029724121,7.62375020980835,0.52375020980835,0.52375020980835,0.20494318008422852,0.00334479808807373,0.015148639678955078,0.04357147216796875,0,0.12287330627441406,0.08988189697265625,,,79
