split,observation_horizon_sec,release_time_sec,method,method_label,station_count,station_mae_mw,station_rmse_mw,station_bias_mw,station_pearson_r,station_within_0_15_count,station_within_0_15_fraction,station_within_0_30_count,station_within_0_30_fraction,event_count,event_mae_mw,event_rmse_mw,event_bias_mw,event_pearson_r,event_within_0_15_count,event_within_0_15_fraction,event_within_0_30_count,event_within_0_30_fraction
external_development_validation,20,26.0,phase73,Phase73 有状态模型,158,0.5457140433637403,0.6297198667850559,-0.274936214278016,0.13402432856658097,19,0.12025316455696203,37,0.23417721518987342,8,0.5036445617675782,0.5916860793224841,-0.324632716178894,0.4116286645537678,0,0.0,3,0.375
external_development_validation,20,26.0,phase39,Phase39 原始提案,158,1.2778971647914452,1.3260404315116257,1.2778971647914452,0.1860140490389652,0,0.0,0,0.0,8,1.490074920654297,1.54674751697703,1.490074920654297,-0.014978047107875515,0,0.0,0,0.0
external_development_validation,20,26.0,crowell,Crowell PGD,158,0.5495040169245081,0.6346922347988085,-0.2755095868171017,0.1376386547142117,20,0.12658227848101267,37,0.23417721518987342,8,0.5115071296691895,0.6001977120834707,-0.3292967796325683,0.4139975229193474,0,0.0,2,0.25
external_development_validation,20,26.0,melgar,Melgar PGD,158,0.9143405407289917,1.047578115227337,-0.8828230024893075,0.05919883853870321,14,0.08860759493670886,22,0.13924050632911392,8,0.8642448902130127,0.9679758705075634,-0.8642448902130127,0.4230375942536245,0,0.0,0,0.0
external_development_validation,20,26.0,ruhl,Ruhl PGD,158,1.1185867448396318,1.253457282886117,-1.1005954229379002,0.05754185791958254,8,0.05063291139240506,15,0.0949367088607595,8,1.103914749622345,1.1952294114464301,-1.103914749622345,0.4234406042950674,0,0.0,0,0.0
external_development_validation,21,27.0,phase73,Phase73 有状态模型,158,0.5403434656843357,0.6233735256753757,-0.26530454128603403,0.13252426471823964,21,0.13291139240506328,37,0.23417721518987342,8,0.49135366678237924,0.5693936121408505,-0.3088163256645202,0.4380178479609499,0,0.0,3,0.375
external_development_validation,21,27.0,phase39,Phase39 原始提案,158,1.2751182544080517,1.3239184219284965,1.2751182544080517,0.18110086310506235,0,0.0,0,0.0,8,1.4827832460403443,1.5405415309292578,1.4827832460403443,-0.009731446502080927,0,0.0,0,0.0
external_development_validation,21,27.0,crowell,Crowell PGD,158,0.5451221037514603,0.6298935757008265,-0.26580479477025293,0.13304594653339846,21,0.13291139240506328,38,0.24050632911392406,8,0.49597606658935556,0.5729474483314866,-0.3097042560577392,0.4435068390702444,0,0.0,2,0.25
external_development_validation,21,27.0,melgar,Melgar PGD,158,0.9051075911220118,1.0373047236234991,-0.869461675233479,0.05123328274370119,12,0.0759493670886076,23,0.14556962025316456,8,0.8290189027786254,0.922161729049125,-0.8290189027786254,0.47734979586274534,0,0.0,0,0.0
external_development_validation,21,27.0,ruhl,Ruhl PGD,158,1.1077754002583178,1.2415992055388803,-1.0861116029039215,0.04975076762827727,7,0.04430379746835443,15,0.0949367088607595,8,1.0659170866012573,1.1468659466666724,-1.0659170866012573,0.47632137793261053,0,0.0,0,0.0
external_development_validation,22,28.0,phase73,Phase73 有状态模型,158,0.532308277902724,0.6145840495531624,-0.2520189587073991,0.12727458886323184,20,0.12658227848101267,39,0.2468354430379747,8,0.46870646476745614,0.5402865456873358,-0.28187937736511226,0.44954522693270377,0,0.0,3,0.375
external_development_validation,22,28.0,phase39,Phase39 原始提案,158,1.2286146139796776,1.281084374346768,1.2286146139796776,0.17358289121868278,0,0.0,0,0.0,8,1.4393147706985474,1.5007434747725996,1.4393147706985474,-0.012746640647679958,0,0.0,0,0.0
external_development_validation,22,28.0,crowell,Crowell PGD,158,0.5415274457086492,0.6251590879733447,-0.2509004888655265,0.1212985454275515,21,0.13291139240506328,41,0.25949367088607594,8,0.44933358430862436,0.5147863525235697,-0.2603900551795959,0.47270162131328836,0,0.0,3,0.375
external_development_validation,22,28.0,melgar,Melgar PGD,158,0.8878082915197446,1.0236108498844196,-0.8489562650270102,0.03256136921510629,13,0.08227848101265822,26,0.16455696202531644,8,0.8009361147880554,0.8923158035305981,-0.8009361147880554,0.47238699038322196,0,0.0,1,0.125
external_development_validation,22,28.0,ruhl,Ruhl PGD,158,1.0871289180803905,1.2253154230111378,-1.0638662229610396,0.03142511437283978,8,0.05063291139240506,15,0.0949367088607595,8,1.0353720307350158,1.1134013268454477,-1.0353720307350158,0.47254455707200094,0,0.0,0,0.0
external_development_validation,23,29.0,phase73,Phase73 有状态模型,158,0.5275604676596727,0.609165261064005,-0.24124556251719037,0.1274203492394755,20,0.12658227848101267,39,0.2468354430379747,8,0.4598197102546693,0.5264641991807949,-0.26817382574081416,0.4644347384296138,0,0.0,3,0.375
external_development_validation,23,29.0,phase39,Phase39 原始提案,158,1.1953140331220022,1.2517029337106937,1.1953140331220022,0.16225436594510176,0,0.0,0,0.0,8,1.4115840673446656,1.4749755169355847,1.4115840673446656,0.007659277054040048,0,0.0,0,0.0
external_development_validation,23,29.0,crowell,Crowell PGD,158,0.5437105812603915,0.625180709992973,-0.24097838281076175,0.1112368709524925,22,0.13924050632911392,38,0.24050632911392406,8,0.44562671184539804,0.5051952128053558,-0.2457292795181274,0.48521056517494865,0,0.0,3,0.375
external_development_validation,23,29.0,melgar,Melgar PGD,158,0.8744910228101515,1.0157078397208552,-0.8353717779811426,0.018214431935738414,16,0.10126582278481013,29,0.18354430379746836,8,0.7742568373680114,0.8773299123151639,-0.7742568373680114,0.450162397960969,0,0.0,2,0.25
external_development_validation,23,29.0,ruhl,Ruhl PGD,158,1.0722573328621783,1.2156386172032398,-1.0490497878835172,0.017111364132516384,9,0.056962025316455694,18,0.11392405063291139,8,1.0064907789230346,1.095177772762535,-1.0064907789230346,0.45046280156896207,0,0.0,0,0.0
external_development_validation,24,30.0,phase73,Phase73 有状态模型,158,0.5215925427931775,0.6026337318852135,-0.22881174992911432,0.1249802442390706,19,0.12025316455696203,40,0.25316455696202533,8,0.42758188247680673,0.49018289294393436,-0.23077745437622066,0.4807697292453574,0,0.0,3,0.375
external_development_validation,24,30.0,phase39,Phase39 原始提案,158,1.1614419538763505,1.2233111798124454,1.1614419538763505,0.141350275118262,0,0.0,0,0.0,8,1.3753982067108155,1.4409561785181801,1.3753982067108155,0.050931958731352985,0,0.0,0,0.0
external_development_validation,24,30.0,crowell,Crowell PGD,158,0.5410521718520154,0.6223446444285831,-0.2365121931969366,0.11059030386148845,22,0.13924050632911392,40,0.25316455696202533,8,0.4490043282508851,0.5083298600052722,-0.24041451215744014,0.47464618680902504,0,0.0,3,0.375
external_development_validation,24,30.0,melgar,Melgar PGD,158,0.8685760872273507,1.010262298104961,-0.8292235965970198,0.01667488985501822,16,0.10126582278481013,30,0.189873417721519,8,0.7714790821075439,0.8746753363322299,-0.7714790821075439,0.4472379658430921,0,0.0,2,0.25
