method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.061794427202840174,0.0
released,3,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.35665477606151663,0.6900210380554199
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,4.806105375289917,7.5,7.508084774017334,-2.693894624710083,-2.701979398727417,2,0.009408235549926758,0.009408235549926758
released_constrained,3,Parkfield2004,4.639586448669434,5.96999979019165,6.0,-1.3304133415222168,-1.3604135513305664,5,0.13847435968594635,0.1256422996520996
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.08374209681084559,0.0
released,4,Parkfield2004,4.968568325042725,5.96999979019165,6.0,-1.0014314651489258,-1.0314316749572754,11,0.09804633473176276,0.10945940017700195
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,5.116070032119751,7.5,7.508084774017334,-2.383929967880249,-2.392014741897583,2,0.014467954635620117,0.014467954635620117
released_constrained,4,Parkfield2004,4.968568325042725,5.96999979019165,6.0,-1.0014314651489258,-1.0314316749572754,11,0.09804633473176276,0.10945940017700195
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.09576202885293059,0.0
released,5,Parkfield2004,5.304137229919434,5.96999979019165,6.0,-0.6658625602722168,-0.6958627700805664,11,0.11020910156448126,0.20386075973510742
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,5,Noto2024,5.285574913024902,7.5,7.508084774017334,-2.2144250869750977,-2.2225098609924316,2,0.0311737060546875,0.0311737060546875
released_constrained,5,Parkfield2004,5.304137229919434,5.96999979019165,6.0,-0.6658625602722168,-0.6958627700805664,11,0.11020910156448126,0.20386075973510742
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.10275136448770275,0.0
released,6,Parkfield2004,5.575631618499756,5.96999979019165,6.0,-0.39436817169189453,-0.42436838150024414,11,0.14036767186629262,0.19216656684875488
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.20113742388047226,0.0
released_constrained,6,Noto2024,5.384377956390381,7.5,7.508084774017334,-2.115622043609619,-2.123706817626953,2,0.02842569351196289,0.02842569351196289
released_constrained,6,Parkfield2004,5.575631618499756,5.96999979019165,6.0,-0.39436817169189453,-0.42436838150024414,11,0.14036767186629262,0.19216656684875488
released_constrained,6,SandPoint2020,4.573348522186279,7.599999904632568,7.618760108947754,-3.026651382446289,-3.0454115867614746,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.11747071556646323,0.0
released,7,Parkfield2004,5.70904541015625,5.96999979019165,6.0,-0.2609543800354004,-0.29095458984375,11,0.15326329478549314,0.20183110237121582
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.4662966224624341,0.0
released_constrained,7,Noto2024,5.457819938659668,7.5,7.508084774017334,-2.042180061340332,-2.050264835357666,3,0.2806822873538962,0.2981452941894531
released_constrained,7,Parkfield2004,5.70904541015625,5.96999979019165,6.0,-0.2609543800354004,-0.29095458984375,11,0.15326329478549314,0.20183110237121582
released_constrained,7,SandPoint2020,5.417079925537109,7.599999904632568,7.618760108947754,-2.182919979095459,-2.2016801834106445,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.13263638340640035,0.0
released,8,Parkfield2004,5.846485137939453,5.96999979019165,6.0,-0.12351465225219727,-0.15351486206054688,11,0.09523191584163605,0.10985040664672852
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5420227830466583,0.0
released_constrained,8,Noto2024,5.491718292236328,7.5,7.508084774017334,-2.008281707763672,-2.016366481781006,3,0.08301341619230836,0.09850692749023438
released_constrained,8,Parkfield2004,5.846485137939453,5.96999979019165,6.0,-0.12351465225219727,-0.15351486206054688,11,0.09523191584163605,0.10985040664672852
released_constrained,8,SandPoint2020,5.658039093017578,7.599999904632568,7.618760108947754,-1.9419608116149902,-1.9607210159301758,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.291166340533162,0.05362182855606079
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1497603904366514,0.0
released,9,Parkfield2004,6.007714748382568,5.96999979019165,6.0,0.03771495819091797,0.007714748382568359,11,0.12044122640052868,0.06251263618469238
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5855180309989783,0.0
released_constrained,9,Noto2024,5.613039970397949,7.5,7.508084774017334,-1.8869600296020508,-1.8950448036193848,3,0.0831111940657354,0.10160183906555176
released_constrained,9,Parkfield2004,6.007714748382568,5.96999979019165,6.0,0.03771495819091797,0.007714748382568359,11,0.12044122640052868,0.06251263618469238
released_constrained,9,SandPoint2020,5.796440124511719,7.599999904632568,7.618760108947754,-1.8035597801208496,-1.8223199844360352,1,0.0,0.0
released,10,Anchorage2018,4.464072585105896,7.099999904632568,7.046270847320557,-2.6359273195266724,-2.5821982622146606,8,0.8313948584339458,1.2640290260314941
released,10,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.06810599160563145,0.0
