method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0725181100961641,0.0
released,3,Parkfield2004,4.093430519104004,5.96999979019165,6.0,-1.8765692710876465,-1.906569480895996,11,0.3831110483212358,0.6956919431686401
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,4.957099437713623,7.5,7.508084774017334,-2.542900562286377,-2.550985336303711,2,0.03270530700683594,0.03270530700683594
released_constrained,3,Parkfield2004,4.777108669281006,5.96999979019165,6.0,-1.1928911209106445,-1.2228913307189941,5,0.14023430209992827,0.2611212730407715
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.09196050731273785,0.0
released,4,Parkfield2004,5.074950218200684,5.96999979019165,6.0,-0.8950495719909668,-0.9250497817993164,11,0.10267334707746553,0.14194726943969727
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,5.232043743133545,7.5,7.508084774017334,-2.267956256866455,-2.276041030883789,2,0.022575855255126953,0.022575855255126953
released_constrained,4,Parkfield2004,5.074950218200684,5.96999979019165,6.0,-0.8950495719909668,-0.9250497817993164,11,0.10267334707746553,0.14194726943969727
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1024157722197552,0.0
released,5,Parkfield2004,5.291811943054199,5.96999979019165,6.0,-0.6781878471374512,-0.7081880569458008,11,0.08159058927176792,0.10838651657104492
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,5,Noto2024,5.379704236984253,7.5,7.508084774017334,-2.120295763015747,-2.128380537033081,2,0.02478480339050293,0.02478480339050293
released_constrained,5,Parkfield2004,5.291811943054199,5.96999979019165,6.0,-0.6781878471374512,-0.7081880569458008,11,0.08159058927176792,0.10838651657104492
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.10883812067170882,0.0
released,6,Parkfield2004,5.494351863861084,5.96999979019165,6.0,-0.4756479263305664,-0.505648136138916,11,0.1271815990569446,0.2213420867919922
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.1898219878477288,0.0
released_constrained,6,Noto2024,5.470200300216675,7.5,7.508084774017334,-2.029799699783325,-2.037884473800659,2,0.036292314529418945,0.036292314529418945
released_constrained,6,Parkfield2004,5.494351863861084,5.96999979019165,6.0,-0.4756479263305664,-0.505648136138916,11,0.1271815990569446,0.2213420867919922
released_constrained,6,SandPoint2020,4.5373430252075195,7.599999904632568,7.618760108947754,-3.062656879425049,-3.0814170837402344,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1254903710050262,0.0
released,7,Parkfield2004,5.7848052978515625,5.96999979019165,6.0,-0.1851944923400879,-0.2151947021484375,11,0.12383040730182085,0.23876452445983887
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.4129312944023043,0.0
released_constrained,7,Noto2024,5.492002010345459,7.5,7.508084774017334,-2.007997989654541,-2.016082763671875,3,0.2521132510495793,0.2868824005126953
released_constrained,7,Parkfield2004,5.7848052978515625,5.96999979019165,6.0,-0.1851944923400879,-0.2151947021484375,11,0.12383040730182085,0.23876452445983887
released_constrained,7,SandPoint2020,5.247272491455078,7.599999904632568,7.618760108947754,-2.3527274131774902,-2.371487617492676,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.13937259687658607,0.0
released,8,Parkfield2004,5.922512054443359,5.96999979019165,6.0,-0.047487735748291016,-0.07748794555664062,11,0.11603604839447976,0.19281291961669922
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.4880553357427356,0.0
released_constrained,8,Noto2024,5.548547267913818,7.5,7.508084774017334,-1.9514527320861816,-1.9595375061035156,3,0.08682173678998081,0.10609745979309082
released_constrained,8,Parkfield2004,5.922512054443359,5.96999979019165,6.0,-0.047487735748291016,-0.07748794555664062,11,0.11603604839447976,0.19281291961669922
released_constrained,8,SandPoint2020,5.486315727233887,7.599999904632568,7.618760108947754,-2.1136841773986816,-2.132444381713867,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.4665275707040288,0.01950937509536743
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.15076452305150662,0.0
released,9,Parkfield2004,6.051656246185303,5.96999979019165,6.0,0.08165645599365234,0.051656246185302734,11,0.1472515559085727,0.17016911506652832
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5171863383006973,0.0
released_constrained,9,Noto2024,5.6873779296875,7.5,7.508084774017334,-1.8126220703125,-1.820706844329834,3,0.04473457541560167,0.04747581481933594
released_constrained,9,Parkfield2004,6.051656246185303,5.96999979019165,6.0,0.08165645599365234,0.051656246185302734,11,0.1472515559085727,0.17016911506652832
released_constrained,9,SandPoint2020,5.579010009765625,7.599999904632568,7.618760108947754,-2.0209898948669434,-2.039750099182129,1,0.0,0.0
released,10,Anchorage2018,4.346981167793274,7.099999904632568,7.046270847320557,-2.7530187368392944,-2.6992896795272827,8,0.8060317136783197,1.0743168592453003
released,10,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.02679130832175257,0.0
