bin,n_stations,new3_median_error,old_median_error
"(0, 50]",3,-0.18981409072875977,0.01844024658203125
"(50, 100]",15,0.3051772117614746,0.3351554870605469
"(100, 150]",40,0.4416511058807373,0.4646525382995601
"(150, 200]",61,0.35959768295288086,0.22096776962280273
"(200, 300]",154,0.37470269203186035,0.34981799125671387
"(300, 500]",121,0.41500377655029297,0.3743124008178711
"(500, 3000]",3,-0.10518360137939542,0.24724483489990234
