variant,event,station,horizon_sec,p_arrival_sec,constrained_window_sec,shape_r_window,delta_mw_window,shape_r_full,delta_mw_full
new3,Anchorage2018,AC11,30,13.975035667419434,16.024964332580566,0.5192432693431297,-0.2917711847796953,,
new3,Anchorage2018,AC11,60,13.975035667419434,46.024964332580566,0.6894797304044075,-0.1722887227521115,,
new3,Anchorage2018,AC11,90,13.975035667419434,76.02496433258057,0.7050763518713201,-0.17166079934667255,,
new3,Anchorage2018,AC11,120,13.975035667419434,106.02496433258057,0.7381076464017899,-0.17442557996101726,,
new3,Anchorage2018,AC11,160,13.975035667419434,146.02496433258057,0.7637717415872484,-0.170458466152688,,
new3,Anchorage2018,AC11,200,13.975035667419434,186.02496433258057,0.7734848222508771,-0.04610271453417614,0.7742144699726419,-0.04563380460145261
new3,Anchorage2018,AC14,30,16.203195571899414,13.796804428100586,0.34585674296290253,-0.12891293705672968,,
new3,Anchorage2018,AC14,60,16.203195571899414,43.796804428100586,0.5263505948250108,0.031116757490998737,,
new3,Anchorage2018,AC14,90,16.203195571899414,73.79680442810059,0.5530961024302201,0.06053522088331942,,
new3,Anchorage2018,AC14,120,16.203195571899414,103.79680442810059,0.5923821438815252,-0.011090826922165675,,
new3,Anchorage2018,AC14,160,16.203195571899414,143.7968044281006,0.6279050380410639,0.03703417792191743,,
new3,Anchorage2018,AC14,200,16.203195571899414,183.7968044281006,0.6427406180310803,0.11166867046853923,0.6445399518311633,0.11286937523017393
new3,Anchorage2018,AC15,30,13.676848411560059,16.32315158843994,0.7673829655780294,-0.1677359299132961,,
new3,Anchorage2018,AC15,60,13.676848411560059,46.32315158843994,0.5326644142414849,0.06732750015997446,,
new3,Anchorage2018,AC15,90,13.676848411560059,76.32315158843994,0.3398467623133497,0.21330690484232662,,
new3,Anchorage2018,AC15,120,13.676848411560059,106.32315158843994,0.41372964871209994,0.04247407991915786,,
new3,Anchorage2018,AC15,160,13.676848411560059,146.32315158843994,0.41599591734425584,-0.01999062765308146,,
new3,Anchorage2018,AC15,200,13.676848411560059,186.32315158843994,0.4571078125940062,-0.17455391253952435,0.45985974520131206,-0.17444797331868234
new3,Anchorage2018,AC32,30,8.082479476928711,21.91752052307129,0.5111044275077571,0.43658854569769545,,
new3,Anchorage2018,AC32,60,8.082479476928711,51.91752052307129,0.6435427012083413,0.12825401646458356,,
new3,Anchorage2018,AC32,90,8.082479476928711,81.91752052307129,0.725737631315248,0.07358657158780879,,
new3,Anchorage2018,AC32,120,8.082479476928711,111.91752052307129,0.7541614166376095,0.1540266213794581,,
new3,Anchorage2018,AC32,160,8.082479476928711,151.9175205230713,0.7752368491840799,0.2942646675356482,,
new3,Anchorage2018,AC32,200,8.082479476928711,191.9175205230713,0.8220841673648767,0.24535095212541602,0.8224537048469599,0.2457481498618943
new3,Anchorage2018,AC36,30,9.22986888885498,20.77013111114502,0.1953147039069877,0.48202477080040573,,
new3,Anchorage2018,AC36,60,9.22986888885498,50.77013111114502,0.563312160352314,0.36474564086162786,,
new3,Anchorage2018,AC36,90,9.22986888885498,80.77013111114502,0.6415389467919057,0.2174768084456371,,
new3,Anchorage2018,AC36,120,9.22986888885498,110.77013111114502,0.6527033829786633,0.2502853570334107,,
new3,Anchorage2018,AC36,160,9.22986888885498,150.77013111114502,0.6436402111208516,0.31608461479042216,,
new3,Anchorage2018,AC36,200,9.22986888885498,190.77013111114502,0.6560253727079847,0.21630829401572793,0.6569582163282663,0.2172781957526153
new3,Anchorage2018,AC48,30,21.260873794555664,8.739126205444336,0.7639855440252548,-0.4482310560235403,,
new3,Anchorage2018,AC48,60,21.260873794555664,38.739126205444336,0.5688360513587182,-0.045692216554741094,,
new3,Anchorage2018,AC48,90,21.260873794555664,68.73912620544434,0.5606129874678363,-0.032932802061307775,,
new3,Anchorage2018,AC48,120,21.260873794555664,98.73912620544434,0.5686539205907429,-0.16580900297670986,,
new3,Anchorage2018,AC48,160,21.260873794555664,138.73912620544434,0.5721149330732475,-0.2617423774286678,,
new3,Anchorage2018,AC48,200,21.260873794555664,178.73912620544434,0.5821427949863401,-0.283700801092988,0.5850224186549609,-0.2803586475186295
new3,Anchorage2018,AC53,30,8.382096290588379,21.61790370941162,0.6707599726309417,0.19822240891089393,,
new3,Anchorage2018,AC53,60,8.382096290588379,51.61790370941162,0.7053094806914253,0.051270983185082386,,
new3,Anchorage2018,AC53,90,8.382096290588379,81.61790370941162,0.7373961442208394,-0.01999020612700697,,
new3,Anchorage2018,AC53,120,8.382096290588379,111.61790370941162,0.7468085382684491,0.01202923702997083,,
new3,Anchorage2018,AC53,160,8.382096290588379,151.61790370941162,0.7802006670340885,0.05161659048931977,,
new3,Anchorage2018,AC53,200,8.382096290588379,191.61790370941162,0.790120971697509,0.05352985575161817,0.7901494056493624,0.05873725210763325
new3,Anchorage2018,ATW2,30,8.835310935974121,21.16468906402588,0.7368690207029522,-0.6432905569607543,,
new3,Anchorage2018,ATW2,60,8.835310935974121,51.16468906402588,0.7311312652781229,-0.47566404477567126,,
new3,Anchorage2018,ATW2,90,8.835310935974121,81.16468906402588,0.7514974884559282,-0.5588162196408248,,
new3,Anchorage2018,ATW2,120,8.835310935974121,111.16468906402588,0.7534565456586109,-0.5912894918295368,,
new3,Anchorage2018,ATW2,160,8.835310935974121,151.16468906402588,0.7793270117618566,-0.6526399745256173,,
new3,Anchorage2018,ATW2,200,8.835310935974121,191.16468906402588,0.7858799846812832,-0.7797202037342288,0.7862550646375384,-0.7793585013692566
new3,Maule2010,BTON,30,80.14662170410156,0.0,,0.0,,
new3,Maule2010,BTON,60,80.14662170410156,0.0,,0.0,,
new3,Maule2010,BTON,90,80.14662170410156,9.853378295898438,0.8306030184408041,-0.2927983123980855,,
new3,Maule2010,BTON,120,80.14662170410156,39.85337829589844,-0.5416730339067366,-0.9777405242645569,,
new3,Maule2010,BTON,160,80.14662170410156,79.85337829589844,-0.2958146489193924,-1.0218131659730352,,
new3,Maule2010,BTON,200,80.14662170410156,119.85337829589844,0.7991815170331646,-0.2607880174995749,0.8934455407795887,-0.2607396178664292
new3,Maule2010,CMBA,30,68.8494873046875,0.0,,0.0,,
new3,Maule2010,CMBA,60,68.8494873046875,0.0,,0.0,,
new3,Maule2010,CMBA,90,68.8494873046875,21.1505126953125,-0.14203385282814254,-0.13997531503789418,,
new3,Maule2010,CMBA,120,68.8494873046875,51.1505126953125,-0.7468357288585855,-0.7259237668012775,,
new3,Maule2010,CMBA,160,68.8494873046875,91.1505126953125,0.1228448472054489,-1.0480933624474815,,
new3,Maule2010,CMBA,200,68.8494873046875,131.1505126953125,0.5578551423161957,0.06646897463762613,0.7264409872611336,0.06649544320346834
new3,Maule2010,CNBA,30,64.60308837890625,0.0,,0.0,,
new3,Maule2010,CNBA,60,64.60308837890625,0.0,,0.0,,
new3,Maule2010,CNBA,90,64.60308837890625,25.39691162109375,0.5166022052183645,-0.505065079293165,,
new3,Maule2010,CNBA,120,64.60308837890625,55.39691162109375,-0.4745295112442296,-0.9632739109617834,,
new3,Maule2010,CNBA,160,64.60308837890625,95.39691162109375,-0.02355670656570511,-1.1831165244334514,,
new3,Maule2010,CNBA,200,64.60308837890625,135.39691162109375,0.7253454722140545,0.0051441792505819706,0.8213093900979168,0.005174329047937576
new3,Maule2010,CONS,30,9.856048583984375,20.143951416015625,0.22868082391609904,-0.6933708884823151,,
new3,Maule2010,CONS,60,9.856048583984375,50.143951416015625,0.4035256721375229,0.00863852652555508,,
new3,Maule2010,CONS,90,9.856048583984375,80.14395141601562,0.1275295432099515,0.05126396661326815,,
new3,Maule2010,CONS,120,9.856048583984375,110.14395141601562,0.4699846773262149,-0.049747864164489286,,
new3,Maule2010,CONS,160,9.856048583984375,150.14395141601562,0.7590246110393933,-0.08876763432553503,,
new3,Maule2010,CONS,200,9.856048583984375,190.14395141601562,0.8938752902098136,-0.08252922552763842,0.8964407859326567,-0.08252481559933145
new3,Maule2010,CONZ,30,15.511825561523438,14.488174438476562,0.7661452806838935,-0.04148845611890106,,
new3,Maule2010,CONZ,60,15.511825561523438,44.48817443847656,-0.5951415661416317,-0.43130261541927695,,
new3,Maule2010,CONZ,90,15.511825561523438,74.48817443847656,-0.6045821033444907,-0.4851520586844096,,
new3,Maule2010,CONZ,120,15.511825561523438,104.48817443847656,-0.1243685785361769,-0.6709549310451468,,
new3,Maule2010,CONZ,160,15.511825561523438,144.48817443847656,0.27307085081613913,-0.7921570185977433,,
new3,Maule2010,CONZ,200,15.511825561523438,184.48817443847656,0.3394766849454279,-0.8208401324748298,0.3622270226581919,-0.8207798900224468
new3,Maule2010,CRZL,30,96.39627075195312,0.0,,0.0,,
new3,Maule2010,CRZL,60,96.39627075195312,0.0,,0.0,,
new3,Maule2010,CRZL,90,96.39627075195312,0.0,,0.0,,
new3,Maule2010,CRZL,120,96.39627075195312,23.603729248046875,0.5339491929664015,-0.49011730886430804,,
new3,Maule2010,CRZL,160,96.39627075195312,63.603729248046875,-0.3150076714391119,-0.9450530686393481,,
new3,Maule2010,CRZL,200,96.39627075195312,103.60372924804688,0.23412471005722862,0.30247601579953454,0.7973936948430637,0.30645440949882996
new3,Maule2010,EMAT,30,67.56893920898438,0.0,,0.0,,
new3,Maule2010,EMAT,60,67.56893920898438,0.0,,0.0,,
new3,Maule2010,EMAT,90,67.56893920898438,22.431060791015625,0.05225658196897329,-0.47778892759720293,,
new3,Maule2010,EMAT,120,67.56893920898438,52.431060791015625,-0.6460796421222581,-1.0521534441309868,,
new3,Maule2010,EMAT,160,67.56893920898438,92.43106079101562,-0.14637116215095078,-0.8804090781467657,,
new3,Maule2010,EMAT,200,67.56893920898438,132.43106079101562,0.6422570305024495,0.015334513510250503,0.7807632508151129,0.015364128519632203
new3,Maule2010,JUNT,30,88.43254852294922,0.0,,0.0,,
new3,Maule2010,JUNT,60,88.43254852294922,0.0,,0.0,,
new3,Maule2010,JUNT,90,88.43254852294922,1.5674514770507812,,2.73647979546476,,
new3,Maule2010,JUNT,120,88.43254852294922,31.56745147705078,-0.6326553585151498,-0.5349486241154331,,
new3,Maule2010,JUNT,160,88.43254852294922,71.56745147705078,-0.5711180587522484,-1.0179771002881681,,
new3,Maule2010,JUNT,200,88.43254852294922,111.56745147705078,0.5964665078828938,0.31563482662439313,0.831560005738096,0.31575847942465174
new3,Maule2010,LSCH,30,85.58885192871094,0.0,,0.0,,
new3,Maule2010,LSCH,60,85.58885192871094,0.0,,0.0,,
