variant,horizon_sec,event,n_stations,median_shape_r,median_delta_mw,mae_delta_mw
new3,30,Anchorage2018,8,0.5950016209870357,-0.1483244334850129,0.34959717376787636
new3,30,Maule2010,4,0.5156150741212567,-0.5983065149359739,0.48286809361829097
new3,30,Noto2024,116,0.401668421103375,0.19767821387519957,0.3477759749853964
new3,30,Parkfield2004,11,0.5835831472293395,0.08415710831438794,0.11481965721976559
new3,30,RatIslands2014,1,0.7493310267034716,0.39704629539854874,0.39704629539854874
new3,30,SandPoint2020,4,-0.41456714304198977,-0.2214509027104281,0.47320588830437704
new3,60,Anchorage2018,8,0.6061893762835298,0.04119387033804056,0.16704498528059886
new3,60,Maule2010,6,0.35080634684425327,-0.21527046083190893,0.2829505693084046
new3,60,Noto2024,392,-0.13038627248643164,0.2016425684088241,0.3466437854335027
new3,60,Parkfield2004,11,0.7126807754760821,0.20028991023351939,0.18472760039489378
new3,60,RatIslands2014,3,0.5781351993762738,0.14392452496556274,0.24047121849248132
new3,60,SandPoint2020,9,0.0845233885853481,-0.23093396876805627,0.340071500345052
new3,90,Anchorage2018,8,0.6733076493316129,0.020272507378156224,0.168538191616863
new3,90,Maule2010,14,0.49628706227849056,-0.32615273173181514,0.3507552272538959
new3,90,Noto2024,396,0.3026415944793532,0.14335013951410858,0.2187911245595461
new3,90,Parkfield2004,11,0.7358262934354609,0.1616859277675431,0.15854630776538728
new3,90,RatIslands2014,3,0.49650421613999696,-0.28053442752433,0.3447174182208019
new3,90,SandPoint2020,9,0.5178221080309969,-0.01869856991293517,0.26422210167458515
new3,120,Anchorage2018,8,0.6954055146902266,0.00046920505390257716,0.1751787746314284
new3,120,Maule2010,18,-0.05414812361451864,-0.5496053801006466,0.546830636830471
new3,120,Noto2024,397,0.6789481491536757,0.36221503403470034,0.3501980651438663
new3,120,Parkfield2004,11,0.7560142035942449,0.1267312424872573,0.13205762791517373
new3,120,RatIslands2014,3,0.6539382437490463,0.05271879262093471,0.1655301871623586
new3,120,SandPoint2020,9,0.6226791533211125,-0.03208145729757916,0.2849765610134987
new3,160,Anchorage2018,8,0.70370597635405,0.008521775134417986,0.22547893706217026
new3,160,Maule2010,18,-0.028241858351048244,-0.873974680337501,0.7348734212717831
new3,160,Noto2024,397,0.7483869697619233,0.4468827166926248,0.4312433234640339
new3,160,Parkfield2004,11,0.7959476501347198,0.045891373434345795,0.08035287652216178
new3,160,RatIslands2014,3,0.683841403552034,-0.10801274450781229,0.20415423343413183
new3,160,SandPoint2020,9,0.6582129503134615,0.014651330547216901,0.2796690043519432
new3,200,Anchorage2018,8,0.7147550974794309,0.0037135706087210174,0.23886692553277733
new3,200,Maule2010,18,0.7353107768379749,-0.0027084910282466623,0.19870888255995003
new3,200,Noto2024,397,0.7677156551519498,0.3867092597431423,0.3777265564997907
new3,200,Parkfield2004,11,0.9180671389912252,0.055026984820059965,0.10268444811048423
new3,200,RatIslands2014,3,0.7066321649855121,-0.08390758760383665,0.18051581344275971
new3,200,SandPoint2020,9,0.6720186217666264,0.008522140756937802,0.27176110087392963
old,30,Anchorage2018,8,-0.5526040583270218,-0.09882451128953651,0.19867851539395165
old,30,Maule2010,4,0.9316711490649562,-0.7866868284821096,0.6735361929011325
old,30,Noto2024,116,0.811548426329151,-0.01957571705787009,0.26434639483394534
