method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released_ref,14,Kilauea2018,6.4967360496521,6.900000095367432,6.959524631500244,-0.40326404571533203,-0.46278858184814453,15,0.09253513707809709,0.11483001708984375
released_ref,14,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,1.4090974650906118,2.913524866104126
released_ref,14,Lefkada2015,6.398965358734131,6.5,6.584547519683838,-0.10103464126586914,-0.18558216094970703,3,0.11901528553055131,0.13098478317260742
released_ref,14,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,1.4267283001444442,2.4241931438446045
released_ref,14,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,1.1570531076475612,2.3169596195220947
released_ref,14,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released_ref,14,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.9699344254310505,0.0
released_ref,14,Nepal2015,5.091084361076355,7.800000190734863,7.9343438148498535,-2.7089158296585083,-2.8432594537734985,6,1.2666321148533004,2.5031518936157227
released_ref,14,Nicoya2012,7.056751251220703,7.599999904632568,7.513957500457764,-0.5432486534118652,-0.45720624923706055,9,0.988629216681704,0.18547296524047852
released_ref,14,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.7844230964271056,0.0
released_ref,14,Tehuantepec2017,3.933333158493042,8.199999809265137,8.14512825012207,-4.266666650772095,-4.211795091629028,4,0.0,0.0
released_ref,14,Tohoku2011,3.933333158493042,9.100000381469727,9.031342506408691,-5.166667222976685,-5.098009347915649,688,0.24529329915013812,0.0
released_ref,14,nc73821036,6.04513692855835,6.400000095367432,6.360384464263916,-0.35486316680908203,-0.3152475357055664,9,0.12091002619502203,0.19988489151000977
released_ref,14,us6000ah9t,3.933333158493042,7.400000095367432,7.415288925170898,-3.4666669368743896,-3.4819557666778564,5,1.5942129803556393,3.2410976886749268
released_ref_constrained,14,2013p543824,6.5,6.5,6.545749664306641,0.0,-0.045749664306640625,8,0.2338217626515091,0.08291912078857422
released_ref_constrained,14,2013p613797,6.403343200683594,6.5,6.6639580726623535,-0.09665679931640625,-0.26061487197875977,9,0.2763865926380743,0.2143869400024414
released_ref_constrained,14,Aegean2014,6.076724052429199,6.900000095367432,7.039112091064453,-0.8232760429382324,-0.9623880386352539,3,0.24486419241464175,0.29927778244018555
released_ref_constrained,14,Chignic2021,5.801775932312012,8.199999809265137,8.158402442932129,-2.398223876953125,-2.356626510620117,1,0.0,0.0
released_ref_constrained,14,ElMayor2010,6.151869773864746,7.199999809265137,7.054410934448242,-1.0481300354003906,-0.9025411605834961,21,0.3455750208507029,0.5161247253417969
released_ref_constrained,14,Eureka2014,5.849137783050537,6.800000190734863,7.036463260650635,-0.9508624076843262,-1.1873254776000977,5,0.2830018247424346,0.29701757431030273
released_ref_constrained,14,Ibaraki2011,7.187895059585571,7.900000095367432,7.699999809265137,-0.7121050357818604,-0.5121047496795654,58,0.4934642468803899,0.5099145174026489
released_ref_constrained,14,Illapel2015,6.898872375488281,8.300000190734863,8.278295516967773,-1.401127815246582,-1.3794231414794922,3,1.089265968093524,1.1721580028533936
released_ref_constrained,14,Kaikoura2016,6.585789442062378,7.800000190734863,7.906265735626221,-1.2142107486724854,-1.3204762935638428,6,0.3297756570546689,0.5661722421646118
released_ref_constrained,14,Kilauea2018,6.4967360496521,6.900000095367432,6.959524631500244,-0.40326404571533203,-0.46278858184814453,15,0.09253513707809709,0.11483001708984375
released_ref_constrained,14,Kumamoto2016,6.8571271896362305,7.0,6.987936019897461,-0.14287281036376953,-0.13080883026123047,79,0.3528340476348042,0.5105166435241699
released_ref_constrained,14,Lefkada2015,6.398965358734131,6.5,6.584547519683838,-0.10103464126586914,-0.18558216094970703,3,0.11901528553055131,0.13098478317260742
released_ref_constrained,14,Melinka2016,6.791285991668701,7.599999904632568,7.548134803771973,-0.8087139129638672,-0.7568488121032715,2,0.4337596893310547,0.4337596893310547
released_ref_constrained,14,Mentawai2010,6.318652153015137,7.800000190734863,7.852694034576416,-1.4813480377197266,-1.5340418815612793,4,0.3265734707640772,0.32006335258483887
released_ref_constrained,14,Miyagi2011B,6.437684535980225,7.099999904632568,7.146298408508301,-0.6623153686523438,-0.7086138725280762,9,0.3771732916202678,0.47873544692993164
released_ref_constrained,14,Nepal2015,6.499034881591797,7.800000190734863,7.9343438148498535,-1.3009653091430664,-1.4353089332580566,3,0.1556815275252887,0.1871647834777832
released_ref_constrained,14,Nicoya2012,7.0786826610565186,7.599999904632568,7.513957500457764,-0.5213172435760498,-0.4352748394012451,8,0.1197051415211449,0.14036190509796143
released_ref_constrained,14,Simeonof2020,6.455033779144287,7.800000190734863,7.865213871002197,-1.3449664115905762,-1.4101800918579102,2,0.39487695693969727,0.39487695693969727
released_ref_constrained,14,Tohoku2011,6.666205406188965,9.100000381469727,9.031342506408691,-2.4337949752807617,-2.3651371002197266,5,0.2279384918843879,0.25308704376220703
released_ref_constrained,14,nc73821036,6.04513692855835,6.400000095367432,6.360384464263916,-0.35486316680908203,-0.3152475357055664,9,0.12091002619502203,0.19988489151000977
released_ref_constrained,14,us6000ah9t,7.187463283538818,7.400000095367432,7.415288925170898,-0.21253681182861328,-0.22782564163208008,2,0.01303243637084961,0.01303243637084961
released_ref,15,2013p543824,6.5,6.5,6.545749664306641,0.0,-0.045749664306640625,8,0.13885039148012338,0.017000555992126465
released_ref,15,2013p613797,6.4189231395721436,6.5,6.6639580726623535,-0.08107686042785645,-0.24503493309020996,10,0.7446450681136015,0.16296613216400146
