mechanism,cohort,n_events,n_stations,new3_mae,new3_bias,old_mae,old_bias,crowell_mae
Normal,train,1,4,0.1595306396484375,-0.1595306396484375,0.0862765312194824,-0.0862765312194824,0.2109383325312173
Normal,validation,1,8,0.0065522193908691,0.0065522193908691,0.0210089683532714,0.0210089683532714,0.2142900806458669
Reverse,train,16,1510,0.10444504022598261,-0.10260009765624996,0.0854115337133407,-0.0854115337133407,0.22430278789624947
Reverse,validation,2,415,0.19473743438720698,0.1920475959777832,0.2177748680114746,0.2177748680114746,0.012446580706787249
Strike slip,train,7,284,0.11316418647766109,-0.11316418647766109,0.10922111783708842,-0.10922111783708842,0.10766996067209848
Strike slip,validation,3,23,0.04953034718831373,-0.006363232930501335,0.101845900217692,0.05240996678670246,0.25824695883770854
