method,method_label,input_channels,event_count,station_count,event_mae_mw,event_rmse_mw,event_bias_mw,event_within_0_2_fraction,station_mae_mw,station_rmse_mw,station_bias_mw
phase39,Phase 39,radial waveform,9,450,0.3496432304382324,0.4669581667938597,0.10547033945719403,0.3333333333333333,0.3146495034959581,0.4366908185825911,-0.13780144585503473
crowell,Crowell 2013,3-component PGD,9,450,0.3110416398874827,0.4447997777826814,0.12747366260779736,0.5555555555555556,0.2739150643817287,0.3892590809444403,0.03632854260738389
ruhl,Ruhl 2019,3-component PGD,9,450,0.4448222435619847,0.4746017485509961,-0.28411214370260357,0.1111111111111111,0.43142596993113597,0.5217946974555905,-0.30654550162755023
melgar,Melgar 2015,3-component PGD,9,450,0.35697052077416447,0.40660535482280535,-0.09463017158303691,0.3333333333333333,0.34544756369507906,0.4375284520289455,-0.14909258592752697
