seed,full_validation_online_mae,no_synth_validation_online_mae,online_delta_no_synth_minus_full,full_validation_L_synth,no_synth_validation_L_synth,L_synth_delta_no_synth_minus_full
17,0.37816470280355563,0.38081534261379807,0.002650639810242439,0.23845653818661147,0.23933962628910235,0.000883088102490881
42,0.40640836280589876,0.40717206929607414,0.0007637064901753754,0.22276572976748982,0.22345708880124915,0.0006913590337593312
73,0.3359055688348688,0.3352512195828611,-0.000654349252007691,0.22084867680559353,0.22140980587930095,0.0005611290737074226
