horizon_sec,event_count,event_mae,event_rmse,event_bias
7.0,1,2.3025118827819826,2.3025118827819826,-2.3025118827819826
8.0,3,1.6660297711690266,1.7270241416386432,-1.6660297711690266
9.0,3,1.4051775932312012,1.5229224030943298,-1.4051775932312012
10.0,4,1.1199405431747436,1.2541712252338848,-1.1199405431747436
11.0,4,1.058009886741638,1.1736202102806885,-1.058009886741638
12.0,5,0.9873843002319335,1.0697002015935242,-0.9873843002319335
13.0,5,0.9717054176330565,1.0488143825703649,-0.9717054176330565
14.0,6,0.8484214146931964,0.9327794479364694,-0.8484214146931964
15.0,6,0.8206955591837564,0.9071772044232345,-0.8206955591837564
16.0,6,0.8040219942728677,0.8895110801882762,-0.8040219942728677
17.0,6,0.7958549658457437,0.8862520383025185,-0.7958549658457437
18.0,6,0.7864545186360675,0.8795435452399042,-0.7864545186360675
19.0,6,0.7373036543528237,0.8342337497329726,-0.7373036543528237
20.0,6,0.6609325408935546,0.7763583361706828,-0.6609325408935546
21.0,6,0.5977307160695392,0.715607424371145,-0.5977307160695392
22.0,6,0.5527377923329669,0.6678777914250418,-0.5464365482330321
23.0,6,0.5220951239267984,0.6348302882726861,-0.49781282742818184
24.0,6,0.5072052955627441,0.6216836624282893,-0.4764981269836424
25.0,6,0.49619131088256835,0.6054268440320755,-0.46134312947591133
26.0,6,0.45899038314819335,0.5496014726859962,-0.41461022694905586
27.0,6,0.44561382929484045,0.5328775189983586,-0.3974413871765135
28.0,6,0.4317001183827718,0.5192565739785495,-0.38823342323303206
29.0,6,0.4171916325887044,0.5042684924274441,-0.38143555323282863
30.0,6,0.39300462404886877,0.4794954204140482,-0.3650389512379963
31.0,6,0.3786852041880289,0.46767581026429655,-0.3583587805430093
32.0,6,0.36965843836466467,0.460325985318379,-0.3550233840942381
33.0,6,0.36751394271850585,0.4555576901096391,-0.3531726201375324
34.0,6,0.3670820871988932,0.4530368420024648,-0.3528509140014647
35.0,6,0.3431695779164632,0.4325841824667217,-0.3288659254709878
36.0,7,0.41061335972377233,0.508521169656327,-0.39164412362234924
37.0,7,0.42341384887695316,0.5317885581724577,-0.39874232155936096
38.0,8,0.41469089984893803,0.5126827539024648,-0.3916006803512573
39.0,8,0.40654747486114506,0.5049457160671037,-0.3836692094802856
40.0,8,0.40922843217849736,0.5160744588387082,-0.38656390905380245
41.0,8,0.4072574853897095,0.5194480539636402,-0.3848102807998657
42.0,8,0.396800446510315,0.5157906417470869,-0.37457175254821773
43.0,8,0.36859183311462407,0.49138397292574054,-0.33557386398315425
44.0,8,0.36914657354354863,0.4908192823223421,-0.3223489642143249
45.0,8,0.3363804697990418,0.47642258367704865,-0.28631628751754756
46.0,8,0.3307613015174866,0.4726462265024445,-0.2809107422828674
47.0,8,0.32379471063613896,0.46934363079541225,-0.27415801286697383
48.0,8,0.29644953012466435,0.4309196242762514,-0.2470291972160339
49.0,8,0.29361963272094727,0.4292926392399218,-0.24424130916595455
50.0,8,0.2532256245613098,0.3404128944920903,-0.19428862333297725
51.0,8,0.25553303956985474,0.33831631853917915,-0.18245865106582637
52.0,8,0.2260531783103943,0.32183404939862936,-0.14534033536911006
53.0,8,0.20876232385635385,0.2963942645343473,-0.11225618124008174
54.0,8,0.207995629310608,0.287442588875893,-0.10184235572814937
55.0,8,0.21197804212570204,0.28594156043908575,-0.09384502172470088
56.0,8,0.21418538093566908,0.28097879401896614,-0.086198878288269
57.0,8,0.20938357114791883,0.25262406012101785,-0.07207442522048946
58.0,8,0.18726679086685194,0.21016945830517056,-0.04256619215011592
59.0,8,0.18883773088455214,0.21133706216518458,-0.04104043245315547
60.0,8,0.18579604625701918,0.20694546990719143,-0.0371723890304565
61.0,8,0.18140622377395643,0.2016918950115337,-0.03256536722183223
62.0,8,0.18532184362411508,0.1998907883335205,-0.045202624797821
63.0,8,0.19026622772216806,0.2060994739782949,-0.05046637058258052
64.0,8,0.18549410104751596,0.20387865878736294,-0.044100296497344926
65.0,8,0.18445549011230478,0.20287866140184715,-0.03662295341491695
66.0,8,0.18219462633132943,0.20077936580699832,-0.030638349056243852
67.0,8,0.18196735382080087,0.20058534253346783,-0.03111023902893062
68.0,8,0.18069467544555673,0.19998720080627383,-0.026565146446227983
